,Open,High,Low,Close,Volume
2008-03-18,1283.21,1287.5,1256.98,1276.6,0
2008-03-19,1277.16,1330.74,1277.16,1330.74,0
2008-03-20,1330.97,1341.51,1298.42,1298.42,0
2008-03-21,1299.67,1330.67,1295.22,1329.51,0
2008-03-25,1330.29,1359.68,1330.29,1349.88,0
2008-03-26,1349.07,1357.47,1341.21,1352.99,0
2008-03-27,1352.45,1352.45,1336.41,1341.13,0
2008-03-28,1340.34,1345.62,1325.66,1325.76,0
2008-03-29,1327.02,1334.87,1312.95,1315.22,0
2008-04-01,1315.92,1328.52,1312.81,1322.7,0
2008-04-02,1326.41,1370.18,1326.41,1370.18,0
2008-04-03,1369.96,1377.95,1361.55,1367.53,0
2008-04-04,1365.69,1375.66,1358.68,1369.31,0
2008-04-05,1369.85,1380.91,1362.83,1370.4,0
2008-04-08,1373.69,1386.74,1369.02,1372.54,0
2008-04-09,1370.16,1370.16,1360.62,1365.54,0
2008-04-10,1365.5,1368.39,1349.97,1354.49,0
2008-04-11,1355.37,1367.24,1350.11,1360.55,0
2008-04-12,1357.98,1357.98,1331.21,1332.83,0
2008-04-15,1332.2,1335.64,1326.16,1328.32,0
2008-04-16,1331.72,1337.72,1324.35,1334.43,0
2008-04-17,1337.02,1365.49,1337.02,1364.71,0
2008-04-18,1361.69,1368.6,1357.25,1365.56,0
2008-04-19,1369.0,1395.9,1369.0,1390.33,0
2008-04-22,1387.72,1390.23,1379.25,1388.17,0
2008-04-23,1386.43,1386.43,1369.84,1375.94,0
2008-04-24,1378.4,1387.87,1372.24,1379.93,0
2008-04-25,1380.52,1397.72,1371.09,1388.82,0
2008-04-26,1387.88,1399.11,1379.98,1397.84,0
2008-04-29,1398.33,1402.9,1394.4,1396.37,0
2008-04-30,1395.61,1397.0,1386.7,1390.94,0
2008-05-01,1391.22,1404.57,1384.25,1385.59,0
2008-05-02,1385.97,1410.07,1383.07,1409.34,0
2008-05-03,1413.6,1422.72,1406.25,1413.9,0
2008-05-06,1412.77,1415.7,1404.37,1407.49,0
2008-05-07,1405.6,1421.57,1397.1,1418.26,0
2008-05-08,1417.49,1419.54,1391.16,1392.57,0
2008-05-09,1394.29,1402.35,1389.39,1397.68,0
2008-05-10,1394.9,1394.9,1384.11,1388.28,0
2008-05-13,1389.4,1404.06,1386.2,1403.58,0
2008-05-14,1404.4,1406.3,1396.26,1403.04,0
2008-05-15,1405.65,1420.19,1405.65,1408.66,0
2008-05-16,1408.36,1424.4,1406.87,1423.57,0
2008-05-17,1423.89,1425.82,1414.35,1425.35,0
2008-05-20,1425.28,1440.24,1421.63,1426.63,0
2008-05-21,1424.49,1424.49,1409.09,1413.4,0
2008-05-22,1414.06,1419.12,1388.81,1390.71,0
2008-05-23,1390.83,1399.07,1390.23,1394.35,0
2008-05-24,1392.2,1392.2,1373.72,1375.93,0
2008-05-28,1375.97,1387.4,1373.07,1385.35,0
2008-05-29,1386.54,1391.25,1378.16,1390.84,0
2008-05-30,1390.5,1406.32,1388.59,1398.26,0
2008-05-31,1398.36,1404.46,1398.08,1400.38,0
2008-06-03,1399.62,1399.62,1377.79,1385.67,0
2008-06-04,1386.42,1393.12,1370.12,1377.65,0
2008-06-05,1376.26,1388.18,1371.74,1377.2,0
2008-06-06,1377.48,1404.05,1377.48,1404.05,0
2008-06-07,1400.06,1400.06,1359.9,1360.68,0
2008-06-10,1360.83,1370.63,1350.62,1361.76,0
2008-06-11,1358.98,1366.84,1351.56,1358.44,0
2008-06-12,1357.09,1357.09,1335.47,1335.49,0
2008-06-13,1335.78,1353.03,1331.29,1339.87,0
2008-06-14,1341.81,1360.03,1341.71,1357.5,0
2008-06-17,1358.85,1364.7,1352.07,1360.14,0
2008-06-18,1360.71,1366.59,1350.54,1350.93,0
2008-06-19,1349.59,1349.59,1333.4,1337.81,0
2008-06-20,1336.89,1347.66,1330.5,1342.83,0
2008-06-21,1341.02,1341.02,1314.46,1317.93,0
2008-06-24,1319.77,1323.78,1315.31,1318.0,0
2008-06-25,1317.23,1326.02,1304.42,1314.29,0
2008-06-26,1314.54,1335.63,1314.54,1321.97,0
2008-06-27,1316.29,1316.29,1283.15,1283.15,0
2008-06-28,1283.6,1289.45,1272.0,1278.38,0
2008-07-01,1278.06,1290.31,1274.86,1280.0,0
2008-07-02,1276.68,1285.31,1260.68,1284.91,0
2008-07-03,1285.81,1292.17,1261.51,1261.52,0
2008-07-04,1262.96,1271.48,1252.01,1262.9,0
2008-07-08,1262.9,1273.95,1240.68,1252.31,0
2008-07-09,1251.84,1274.17,1242.84,1273.69,0
2008-07-10,1273.38,1277.36,1244.57,1244.68,0
2008-07-11,1245.25,1257.65,1236.76,1253.39,0
2008-07-12,1248.66,1257.27,1225.35,1239.49,0
2008-07-15,1241.61,1253.5,1225.01,1228.3,0
